10,1,21
10,0.,5.0
0.749,0.829,1.099,1.355,1.584,1.807,2.035,2.217,2.378,2.591
0.718,0.813,1.133,1.384,1.588,1.841,2.115,2.379,2.508,2.772
0.841,0.937,1.316,1.605,1.919,2.295,2.562,2.722,2.943,3.293
0.929,1.04,1.46,1.74,2.042,2.289,2.639,2.837,2.946,2.971
0.85,0.961,1.337,1.593,1.854,2.005,2.209,2.533,2.812,3.047
1.049,1.149,1.607,1.869,2.012,2.219,2.289,2.412,2.695,2.865
1.213,1.298,1.716,2.015,2.191,2.612,2.863,2.879,2.925,2.902
1.094,1.139,1.436,1.672,1.831,2.05,2.267,2.549,2.785,2.86
0.889,0.939,1.166,1.365,1.553,1.805,2.06,2.22,2.268,2.247
0.843,0.885,1.245,1.665,1.944,1.981,1.972,2.875,3.923,7.51







